Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_21MA_72,-0.07757494818541845,0.9171396593487713,0.010413554372379757,76.0,3145.0,4936.0,0.0
MA_21MA_73,-0.03817053025663145,0.7296292158445319,0.010405424793780553,78.0,3145.0,4936.0,0.0
MA_21MA_74,-0.045912450491521484,0.6917358539856695,0.010405119763811517,76.0,3146.0,4936.0,0.0
MA_21MA_75,-0.1035231968417999,0.613326693777049,0.010387759875660579,78.0,3145.0,4936.0,0.0
MA_21MA_76,-0.10352319684179995,0.7951980018607872,0.010387759875660575,80.0,3149.0,4936.0,0.0
MA_21MA_77,-0.062454671452135235,0.7463501154167427,0.010378911776977535,82.0,3141.0,4936.0,0.0
MA_21MA_78,-0.062454671452133875,0.6327550846398149,0.010378911776977537,82.0,3141.0,4936.0,0.0
MA_21MA_79,-0.13473559254259962,0.7219322037648988,0.010364074403677521,82.0,3139.0,4936.0,0.0
MA_21MA_80,-0.13473559254260042,0.7327620261474384,0.010364074403677512,80.0,3142.0,4936.0,0.0
MA_21MA_81,-0.13473559254259962,0.6448349251669225,0.010364074403677521,82.0,3138.0,4936.0,0.0
MA_21MA_82,-0.13473559254259956,0.64246981984258,0.010364074403677526,86.0,3137.0,4936.0,0.0
MA_21MA_83,-0.13473559254260034,0.6285964688611578,0.010364074403677518,88.0,3138.0,4936.0,0.0
MA_21MA_84,-0.2696707428776613,0.7477408890031263,0.010352856273928462,86.0,3134.0,4936.0,0.0
MA_21MA_85,-0.296168166357719,0.9417512734817339,0.010348704339151762,82.0,3136.0,4936.0,0.0
MA_21MA_86,-0.29616816635771875,0.9786717514546874,0.010348704339151771,82.0,3147.0,4936.0,0.0
MA_21MA_87,-0.2961681663577209,1.1998594675804957,0.010348704339151768,78.0,3146.0,4936.0,0.0
MA_21MA_88,-0.2961681663577209,1.1540094659336995,0.010348704339151768,78.0,3140.0,4936.0,0.0
MA_21MA_89,-0.2961681663577217,1.180037940746995,0.010348704339151762,72.0,3137.0,4936.0,0.0
MA_21MA_90,-0.30954475393766034,1.147853390358184,0.010406933744726496,74.0,3151.0,4936.0,0.0
MA_21MA_91,-0.2778076093704713,1.0702140898467074,0.01051665356568256,68.0,3162.0,4936.0,0.0
MA_21MA_92,-0.212875714371883,1.2125466824199882,0.010549352599272942,68.0,3171.0,4936.0,0.0
MA_21MA_93,-0.11209475522940172,1.2515599693558577,0.010608218636359289,64.0,3176.0,4936.0,0.0
MA_21MA_94,-0.1389596112011137,1.3357761632402272,0.01061208578452321,66.0,3184.0,4936.0,0.0
MA_21MA_95,-0.17686923247417166,1.3870424593716066,0.010619889112230682,68.0,3191.0,4936.0,0.0
MA_21MA_96,-0.1701457741513062,1.599422425022464,0.010639540305328665,58.0,3201.0,4936.0,0.0
MA_21MA_97,-0.11444645901213102,1.586438055861088,0.01065665809703598,56.0,3208.0,4936.0,0.0
MA_21MA_98,-0.007967986403484891,1.731583260203323,0.010690108128881461,58.0,3211.0,4936.0,0.0
MA_21MA_99,0.12154635665270445,1.8788991585978065,0.010737356241393551,58.0,3222.0,4936.0,0.0
MA_21MA_100,0.2493703532837023,1.888741407531032,0.01081936641745331,52.0,3225.0,4936.0,0.0
MA_22MA_32,-0.0014877654609197354,0.03874781898795043,0.009854256954547228,204.0,2937.0,4936.0,0.0
MA_22MA_33,0.30170467393633954,0.3313548619562028,0.010106692545411541,194.0,2963.0,4936.0,0.0
MA_22MA_34,0.3855365129651278,0.46309323349949705,0.010125282640186861,182.0,2984.0,4936.0,0.0
MA_22MA_35,0.23859830933347018,0.5181169196367936,0.010098964151384395,172.0,2974.0,4936.0,0.0
MA_22MA_36,0.560421849754901,0.5966842630470566,0.010223561700622474,168.0,2981.0,4936.0,0.0
MA_22MA_37,0.3333363225937528,0.6489476292365941,0.010439526520386901,160.0,2995.0,4936.0,0.0
MA_22MA_38,0.3874836392952832,0.4342297446516703,0.01045095737193574,162.0,3001.0,4936.0,0.0
MA_22MA_39,0.6551710869200233,0.8111165290420259,0.010362122152147398,160.0,2999.0,4936.0,0.0
MA_22MA_40,0.5637649335500757,0.5046116072679523,0.010420017326648741,160.0,3009.0,4936.0,0.0
MA_22MA_41,0.6570246930576374,0.6645511629395924,0.010456370533638381,148.0,3026.0,4936.0,0.0
MA_22MA_42,0.5582114844679902,0.7303869802291831,0.010435199373107353,140.0,3034.0,4936.0,0.0
MA_22MA_43,0.24376306035900816,0.7879892345236401,0.010235363790631473,128.0,3034.0,4936.0,0.0
MA_22MA_44,0.21927242772286737,0.7393179872227655,0.010262351077539878,128.0,3033.0,4936.0,0.0
MA_22MA_45,0.26217646176117143,0.7291645524507986,0.010253327535771184,128.0,3037.0,4936.0,0.0
MA_22MA_46,0.2157948065244764,0.6736992577797254,0.010243703550037472,122.0,3051.0,4936.0,0.0
MA_22MA_47,0.18414888989071507,0.42251680076152986,0.010248734080578708,128.0,3051.0,4936.0,0.0
MA_22MA_48,0.19881229124710267,0.5050270733097388,0.010247572753957618,118.0,3045.0,4936.0,0.0
MA_22MA_49,0.22272211800421074,0.581546300984785,0.010277044612069183,116.0,3047.0,4936.0,0.0
MA_22MA_50,0.2075446289579751,0.566551132878715,0.010287057493591129,116.0,3053.0,4936.0,0.0
MA_22MA_51,0.23656887947199043,0.7353423533754431,0.010294560128824473,110.0,3065.0,4936.0,0.0
MA_22MA_52,0.23656887947199043,0.7792658522664366,0.010294560128824473,110.0,3076.0,4936.0,0.0
MA_22MA_53,0.2512003835660902,0.7613071143080825,0.010298739010786649,114.0,3101.0,4936.0,0.0
MA_22MA_54,0.26186139233722056,0.8908391547557959,0.010298079720995541,106.0,3114.0,4936.0,0.0
MA_22MA_55,0.16322340602278615,1.053683716252559,0.010287148058031357,104.0,3131.0,4936.0,0.0
MA_22MA_56,0.163223406022786,1.3140720219493742,0.010287148058031366,98.0,3151.0,4936.0,0.0
MA_22MA_57,0.11206154513377593,1.1643212014099125,0.010364747394607639,94.0,3159.0,4936.0,0.0
MA_22MA_58,0.1234755503811528,1.0454572357328296,0.010364027227634123,92.0,3169.0,4936.0,0.0
MA_22MA_59,0.12347555038115417,1.3996606299859198,0.010364027227634121,92.0,3167.0,4936.0,0.0
MA_22MA_60,0.06261527935247278,1.3805174391703718,0.010339381599069887,88.0,3173.0,4936.0,0.0
MA_22MA_61,0.10209700732069181,1.2498681103470952,0.010346904416064283,84.0,3174.0,4936.0,0.0
MA_22MA_62,-0.0016048673330056082,1.0925696454894016,0.010290738842043639,84.0,3173.0,4936.0,0.0
MA_22MA_63,-0.022548164549096923,1.1000737910912073,0.010293011845807585,84.0,3167.0,4936.0,0.0
MA_22MA_64,-0.1995335345882433,1.1250420234314897,0.01044179743335844,86.0,3160.0,4936.0,0.0
MA_22MA_65,-0.18937362732911833,0.9751454803011552,0.010474889131559967,82.0,3154.0,4936.0,0.0
MA_22MA_66,-0.1893736273291158,0.9899159429518098,0.010474889131559958,82.0,3150.0,4936.0,0.0
MA_22MA_67,-0.10737142915780896,0.6967628918818611,0.010496650323434512,80.0,3152.0,4936.0,0.0
MA_22MA_68,-0.1388520583600185,0.6558835095263804,0.01047126348674436,78.0,3153.0,4936.0,0.0
MA_22MA_69,-0.1388520583600192,0.6967807528164915,0.010471263486744356,78.0,3146.0,4936.0,0.0
MA_22MA_70,-0.05661358533068005,0.8074946484613221,0.010435165777618768,78.0,3147.0,4936.0,0.0
MA_22MA_71,-0.05950874005126569,0.8178622951842602,0.01042850008225802,78.0,3145.0,4936.0,0.0
MA_22MA_72,-0.05950874005126701,0.9328308303246984,0.010428500082258024,76.0,3148.0,4936.0,0.0
MA_22MA_73,0.007929948895687393,1.1031790826409327,0.010416272782625713,72.0,3148.0,4936.0,0.0
MA_22MA_74,0.00013899834461280036,1.0294384775642293,0.010415982813522427,72.0,3147.0,4936.0,0.0
MA_22MA_75,-0.14482006591973332,0.669807066271735,0.01041467508107749,78.0,3144.0,4936.0,0.0
